id,phonikud,phonikud_enhanced,saspeech-nakdimon,mms-nakdimon
llm1_226,0,0,1,1
llm1_227,0,1,1,1
llm1_228,0,0,1,1
llm1_229,0,0,0,1
llm1_230,0,0,1,1
llm1_231,1,1,0,0
llm1_232,0,0,0,0
llm1_233,2,1,0,0
llm1_234,0,0,0,0
llm1_235,0,0,0,0
llm1_236,0,0,0,0
llm1_237,0,1,0,0
llm1_238,2,2,1,1
llm1_239,1,1,0,0
llm1_240,0,1,0,0
gold_017_line_048,0,0,0,2
gold_000_line_101,0,0,0,0
gold_021_line_040,1,1,1,1
gold_007_line_150,1,0,0,0
gold_001_line_348,0,0,1,1
gold_020_line_002,0,0,0,1
gold_011_line_114,1,0,0,2
gold_021_line_014,0,0,0,1
gold_021_line_057,0,0,0,0
gold_002_line_310,2,0,0,0
